Test - BI (Search)
"August 1, 2026 - August 31, 2026"
Day,Campaign,Campaign type,Campaign state,Network (with search partners),Campaign bid strategy type,Impr.,Clicks,Conversions,Conv. value,Currency code,Cost
2026-08-14,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_BRAND_Search Ads,Search,Enabled,Search partners,Maximize Conversions,1,0,0.00,0.00,USD,0.00
2026-08-14,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_CONS_Search Ads,Search,Enabled,Search partners,Maximize Conversions,11,0,0.00,0.00,USD,0.00
2026-08-14,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_CONS_Search Ads,Search,Enabled,Google Display Network,Maximize Conversions,2,1,0.00,0.00,USD,0.01
2026-08-15,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_BRAND_Search Ads,Search,Enabled,Google Search,Maximize Conversions,"6,183",626,16.16,"778,900.00",USD,663.94
2026-08-15,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_CONS_Search Ads,Search,Enabled,Google Search,Maximize Conversions,"6,326",405,10.30,"3,010,780.21",USD,158.91
2026-08-15,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_BRAND_Search Ads,Search,Enabled,Search partners,Maximize Conversions,1,0,0.00,0.00,USD,0.00
2026-08-15,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_CONS_Search Ads,Search,Enabled,Search partners,Maximize Conversions,23,0,0.00,0.00,USD,0.00
2026-08-15,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_CONS_Search Ads,Search,Enabled,Google Display Network,Maximize Conversions,4,0,0.00,0.00,USD,0.00
2026-08-16,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_BRAND_Search Ads,Search,Enabled,Google Search,Maximize Conversions,"9,504",778,9.25,"576,853.45",USD,744.20
2026-08-16,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_CONS_Search Ads,Search,Enabled,Google Search,Maximize Conversions,"12,120",651,9.17,"2,690,188.30",USD,287.78
2026-08-16,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_CONS_Search Ads,Search,Enabled,Search partners,Maximize Conversions,37,2,0.00,0.00,USD,0.06
2026-08-16,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_CONS_Search Ads,Search,Enabled,Google Display Network,Maximize Conversions,1,0,0.00,0.00,USD,0.00
2026-08-17,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_BRAND_Search Ads,Search,Enabled,Google Search,Maximize Conversions,"5,273",549,13.88,"801,010.40",USD,601.87
2026-08-17,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_CONS_Search Ads,Search,Enabled,Google Search,Maximize Conversions,"2,644",186,5.04,"845,150.84",USD,53.70
2026-08-17,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_CONS_Search Ads,Search,Enabled,Search partners,Maximize Conversions,13,0,0.00,0.00,USD,0.00
2026-08-17,CO_OTT_PERF_GOOGLE ADS_AlwaysOn-CONV_CONS_Search Ads,Search,Enabled,Google Display Network,Maximize Conversions,4,0,0.00,0.00,USD,0.00
